NAME	TYPE	RESOURCE GROUP	LOCATION	SUBSCRIPTION	RESOURCE LINK
vm-vstudio-dc1-nsg	Network security group	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Network/networkSecurityGroups/vm-vstudio-dc1-nsg
vm-vstudio-test-server-nsg	Network security group	rg-visualstudio-sep-lab-automation	Canada Central	MPN - Vibi Abraham	rg-visualstudio-sep-lab-automation/providers/Microsoft.Network/networkSecurityGroups/vm-vstudio-test-server-nsg
vm-vstudio-test-unmanaged-nsg	Network security group	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Network/networkSecurityGroups/vm-vstudio-test-unmanaged-nsg
vm-vstudio-test1-nsg	Network security group	rg-visualstudio-oct-lab-network	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-network/providers/Microsoft.Network/networkSecurityGroups/vm-vstudio-test1-nsg
vm-vstudio-ubunbtu-docker-nsg	Network security group	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Network/networkSecurityGroups/vm-vstudio-ubunbtu-docker-nsg
vm-vstudio-ubunbtu-docker-pub-key	SSH key	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Compute/sshPublicKeys/vm-vstudio-ubunbtu-docker-pub-key
vmstudio-ind-vm-nsg	Network security group	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Network/networkSecurityGroups/vmstudio-ind-vm-nsg
vnet-canadacentral	Virtual network	rg-vstudio-ai-projects	Canada Central	MPN - Vibi Abraham	rg-vstudio-ai-projects/providers/Microsoft.Network/virtualNetworks/vnet-canadacentral
vnet-pdjqwodr	Virtual network	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Network/virtualNetworks/vnet-pdjqwodr
vStudio-Action	Action group	rg-visualstudio-sep-lab-automation	Global	MPN - Vibi Abraham	rg-visualstudio-sep-lab-automation/providers/microsoft.insights/actiongroups/vStudio-Action
vstudio-ai-flight-key	SSH key	rg-vstudio-ai-projects	Canada Central	MPN - Vibi Abraham	rg-vstudio-ai-projects/providers/Microsoft.Compute/sshPublicKeys/vstudio-ai-flight-key
vstudio-ai-flight-vm01	Virtual machine	rg-vstudio-ai-projects	Canada Central	MPN - Vibi Abraham	rg-vstudio-ai-projects/providers/Microsoft.Compute/virtualMachines/vstudio-ai-flight-vm01
vstudio-ai-flight-vm01-nsg	Network security group	rg-vstudio-ai-projects	Canada Central	MPN - Vibi Abraham	rg-vstudio-ai-projects/providers/Microsoft.Network/networkSecurityGroups/vstudio-ai-flight-vm01-nsg
vstudio-ai-flight-vm01-public-ip	Public IP address	rg-vstudio-ai-projects	Canada Central	MPN - Vibi Abraham	rg-vstudio-ai-projects/providers/Microsoft.Network/publicIPAddresses/vstudio-ai-flight-vm01-public-ip
vstudio-ai-flight-vm01678	Network Interface	rg-vstudio-ai-projects	Canada Central	MPN - Vibi Abraham	rg-vstudio-ai-projects/providers/Microsoft.Network/networkInterfaces/vstudio-ai-flight-vm01678
vstudio-ai-flight-vm01_disk1_1995ce9141be4be09cbd0731ada015ba	Disk	RG-VSTUDIO-AI-PROJECTS	Canada Central	MPN - Vibi Abraham	RG-VSTUDIO-AI-PROJECTS/providers/Microsoft.Compute/disks/vstudio-ai-flight-vm01_disk1_1995ce9141be4be09cbd0731ada015ba
vstudio-datacollector	Data collection rule	rg-visualstudio-sep-lab-data	Canada Central	MPN - Vibi Abraham	rg-visualstudio-sep-lab-data/providers/Microsoft.Insights/dataCollectionRules/vstudio-datacollector
vstudio-purview	Microsoft Purview account	rg-visualstudio-oct-lab-network	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-network/providers/Microsoft.Purview/accounts/vstudio-purview
vstudio-ubuntu1-nsg	Network security group	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Network/networkSecurityGroups/vstudio-ubuntu1-nsg
vstudio-vault	Recovery Services vault	rg-visualstudio-sep-lab-data	Canada Central	MPN - Vibi Abraham	rg-visualstudio-sep-lab-data/providers/Microsoft.RecoveryServices/vaults/vstudio-vault
vstudio-vm-lx-ansible-nsg	Network security group	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Network/networkSecurityGroups/vstudio-vm-lx-ansible-nsg
vstudio-vm-lx-ansible_key	SSH key	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Compute/sshPublicKeys/vstudio-vm-lx-ansible_key
vstudio-win-nsg	Network security group	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Network/networkSecurityGroups/vstudio-win-nsg
win2022testVM-nsg	Network security group	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Network/networkSecurityGroups/win2022testVM-nsg
ws-vstudio-sentinel	Log Analytics workspace	rg-visualstudio-sep-lab-data	Canada Central	MPN - Vibi Abraham	rg-visualstudio-sep-lab-data/providers/Microsoft.OperationalInsights/workspaces/ws-vstudio-sentinel
